Microservice,Port,Base de Données,Fichier Producteur,Classe Producteur,Méthode Producteur,Topic Publié,Event Publié,Fichier Consommateur #1,Classe Consommateur,Méthode Consommateur,Topic Consommé,Event Consommé
auth-service,8081,PostgreSQL auth_db (192.168.0.122:5432),config/KafkaConfig.java,N/A (Configuration),KafkaTemplate Bean,user-registered,UserRegisteredEvent,N/A,N/A,N/A,N/A,N/A
user-service,8082,PostgreSQL wallet_db (192.168.0.122:5432),kafka/UserEventProducer.java,UserEventProducer,publishUserCreatedEvent(),user-created-topic,UserCreatedEvent,kafka/WalletResponseListener.java,WalletResponseListener,handleWalletCreatedEvent(),wallet-created-topic,WalletCreatedEvent
wallet-service,8086,PostgreSQL wallet_db (localhost:5432),consumer/UserEventConsumer.java,UserEventConsumer,handleUserCreatedEvent(),wallet-created-topic,WalletCreatedEvent,consumer/UserEventConsumer.java,UserEventConsumer,handleUserCreatedEvent(),user-created-topic,UserCreatedEvent
wallet-service,8086,PostgreSQL wallet_db (localhost:5432),consumer/UserEventConsumer.java,UserEventConsumer,handleUserCreatedEvent(),wallet-created-topic,WalletCreatedEvent,listener/UserEventListener.java,UserEventListener,handleUserRegistered(),user-registered,UserRegisteredEvent
transaction-service,8083,PostgreSQL wallet_db (192.168.0.122:5432),kafka/producer/ValidationRequestProducer.java,ValidationRequestProducer,publishValidationRequest(),transaction.validation.request,TransactionValidationRequest,N/A,N/A,N/A,N/A,N/A
notification-service,8007,PostgreSQL notification_db (localhost:5432),N/A,N/A,N/A,N/A,N/A,listener/UserEventListener.java,UserEventListener,handleUserRegistered(),user-registered,UserRegisteredEvent
notification-service,8007,PostgreSQL notification_db (localhost:5432),N/A,N/A,N/A,N/A,N/A,listener/TransactionEventListener.java,TransactionEventListener,handleTransactionCreated(),transaction-created,TransactionCreatedEvent
notification-service,8007,PostgreSQL notification_db (localhost:5432),N/A,N/A,N/A,N/A,N/A,consumer/UserEventConsumer.java,UserEventConsumer,consumeUserEvent(),notification.user.events,NotificationEvent
notification-service,8007,PostgreSQL notification_db (localhost:5432),N/A,N/A,N/A,N/A,N/A,consumer/TransactionEventConsumer.java,TransactionEventConsumer,consumeTransactionEvent(),notification.transaction.events,NotificationEvent
notification-service,8007,PostgreSQL notification_db (localhost:5432),N/A,N/A,N/A,N/A,N/A,consumer/WalletEventConsumer.java,WalletEventConsumer,consumeWalletEvent(),notification.wallet.events,NotificationEvent
